app_id,name,genre,price_usd,release_year,is_free
1887840,Another Crab's Treasure,Action,29.99,2024,0
1484280,Demeo,Adventure,39.99,2021,0
257420,Serious Sam 4,Action,39.99,2020,0
1466640,Road 96 🛣️,Action,19.96,2021,0
1237320,Sonic Frontiers,Action,59.99,2022,0
2076010,UNDER NIGHT IN-BIRTH II Sys:Celes,Action,49.99,2024,0
1353230,Bomb Rush Cyberfunk,Action,39.99,2023,0
2996040,Teenage Mutant Ninja Turtles: Splintered Fate,Action,26.99,2024,0
1182900,A Plague Tale: Requiem,Action,49.99,2022,0
1556100,Killer Klowns from Outer Space: The Game,Action,39.99,2024,0
1574580,Strange Horticulture,Adventure,15.99,2022,0
1262560,Need for Speed™ Most Wanted,Racing,4.99,2020,0
1113120,IXION,Indie,34.99,2022,0
1337760,Potion Permit,Action,19.99,2022,0
1531540,Distant Worlds 2,Simulation,49.99,2022,0
1378990,Crash Bandicoot™ 4: It’s About Time,Action,39.99,2022,0
629820,Maneater,Action,39.99,2021,0
1262540,Need for Speed™,Racing,7.49,2020,0
867210,Songs of Conquest,Adventure,34.99,2024,0
2229870,Command & Conquer™ Generals,Action,0.0,2024,1
1164940,Trepang2,Action,19.99,2023,0
1249970,Test Drive Unlimited Solar Crown,MMO,49.99,2024,0
793460,112 Operator,Indie,24.99,2020,0
1277400,Monster Hunter Stories 2: Wings of Ruin,Adventure,29.99,2021,0
1581770,SpellForce: Conquest of Eo,RPG,29.99,2023,0
610370,Desperados III,Strategy,39.99,2020,0
1643310,Dungeons 4,Simulation,49.99,2023,0
1328660,Need for Speed™ Hot Pursuit Remastered,Racing,7.49,2020,0
1041720,Kingdoms of Amalur: Re-Reckoning,Action,39.99,2020,0
1458100,Cozy Grove,Casual,14.99,2021,0
553420,TUNIC,Action,29.99,2022,0
1811990,Wildfrost,Indie,13.99,2023,0
858820,Tribes of Midgard,Action,19.99,2021,0
1684350,The Thaumaturge,Adventure,34.99,2024,0
807120,Iratus: Lord of the Dead,Indie,29.99,2020,0
1658280,Eiyuden Chronicle: Hundred Heroes,Action,32.49,2024,0
1408610,Call of the Wild: The Angler™,Sports,14.99,2022,0
1065310,Evil West,Action,49.99,2022,0
1262350,SIGNALIS,Action,19.99,2022,0
1547890,Let's Build a Zoo,Simulation,7.99,2021,0
1262240,Plants vs. Zombies: Battle for Neighborville™,Action,9.89,2020,0
1658150,Moonstone Island,Adventure,19.99,2023,0
757320,Atomicrops,Action,14.99,2020,0
1805480,Like a Dragon: Ishin!,Action,59.99,2023,0
536270,Ancestors: The Humankind Odyssey,Action,39.99,2020,0
377300,Thunder Tier One,Action,19.99,2021,0
1585180,Drova - Forsaken Kin,Action,24.99,2024,0
1229240,Chained Echoes,Indie,24.99,2022,0
1963570,Cuisineer,Action,17.49,2023,0
1951410,WE ARE FOOTBALL 2024,Sports,24.79,2024,0
1649950,News Tower,Simulation,19.99,2024,0
837470,Untitled Goose Game,Action,19.99,2020,0
2751000,Prince of Persia The Lost Crown,Action,39.99,2024,0
1003590,Tetris® Effect: Connected,Casual,19.99,2021,0
970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,Action,34.99,2020,0
1593030,Terra Nil,Casual,24.99,2023,0
933820,Endzone - A World Apart,Indie,4.49,2021,0
656350,UnderMine,Action,19.99,2020,0
1475810,Ghostwire: Tokyo,Action,59.99,2022,0
2230110,Fae Farm,Action,29.99,2023,0
607080,Psychonauts 2,Action,59.99,2021,0
1211630,The Jackbox Party Pack 7,Casual,29.99,2020,0
674140,Bugsnax,Action,24.99,2022,0
1099410,A Total War Saga: TROY,Action,49.99,2021,0
1351240,Taxi Life: A City Driving Simulator,Simulation,29.99,2024,0
1895880,Ratchet & Clank: Rift Apart,Action,59.99,2023,0
1163550,Captain Tsubasa: Rise of New Champions,Sports,9.99,2020,0
826630,Iron Harvest,Strategy,29.99,2020,0
1701520,Afterimage,Action,24.99,2023,0
