app_id,ccu,owners,avg_playtime_min,ccu_at_1yr,ccu_peak
1263850,1122,"2,000,000 .. 5,000,000",21268,26878.0,93775.0
1940340,1054,"1,000,000 .. 2,000,000",1854,2119.0,23679.0
934700,1023,"500,000 .. 1,000,000",994,2835.0,18542.0
1888160,1011,"2,000,000 .. 5,000,000",2027,3234.0,156022.0
2420110,1005,"1,000,000 .. 2,000,000",2923,3658.0,40427.0
881020,996,"2,000,000 .. 5,000,000",3426,4723.0,113179.0
1044720,995,"1,000,000 .. 2,000,000",1817,4465.0,24874.0
1113000,962,"1,000,000 .. 2,000,000",2749,3466.0,29984.0
1336490,958,"500,000 .. 1,000,000",2450,3677.0,12832.0
1790600,949,"2,000,000 .. 5,000,000",1504,2329.0,120000.0
1210320,941,"1,000,000 .. 2,000,000",662,1262.0,10085.0
753640,928,"1,000,000 .. 2,000,000",795,1218.0,7936.0
975370,915,"2,000,000 .. 5,000,000",2661,1966.0,28288.0
362890,907,"2,000,000 .. 5,000,000",1183,1653.0,7116.0
1286680,866,"1,000,000 .. 2,000,000",1347,2656.0,14957.0
2000950,847,"1,000,000 .. 2,000,000",996,2018.0,3581.0
1501750,827,"1,000,000 .. 2,000,000",1635,681.0,32235.0
1845910,804,"2,000,000 .. 5,000,000",2521,1276.0,60656.0
2835570,793,"2,000,000 .. 5,000,000",700,2365.0,20135.0
2054970,768,"2,000,000 .. 5,000,000",2618,2626.0,228285.0
885970,764,"500,000 .. 1,000,000",1681,1249.0,18407.0
1462040,761,"1,000,000 .. 2,000,000",1628,1951.0,13803.0
1718570,742,"1,000,000 .. 2,000,000",3172,1747.0,7787.0
2515020,737,"500,000 .. 1,000,000",2350,2377.0,27313.0
920210,719,"1,000,000 .. 2,000,000",1120,2929.0,82446.0
1151640,700,"1,000,000 .. 2,000,000",1650,7280.0,49582.0
848450,698,"2,000,000 .. 5,000,000",2382,3149.0,42057.0
1057090,697,"2,000,000 .. 5,000,000",883,7920.0,31224.0
1030840,686,"1,000,000 .. 2,000,000",722,1603.0,36631.0
1097150,664,"20,000,000 .. 50,000,000",1370,21493.0,172026.0
2072450,655,"500,000 .. 1,000,000",4164,3609.0,46029.0
870780,648,"1,000,000 .. 2,000,000",869,1727.0,9078.0
1272080,644,"2,000,000 .. 5,000,000",1681,2956.0,69112.0
1985810,644,"500,000 .. 1,000,000",1623,2304.0,3637.0
784080,636,"500,000 .. 1,000,000",3992,1812.0,6472.0
2369390,627,"500,000 .. 1,000,000",1547,3619.0,19996.0
1809540,625,"1,000,000 .. 2,000,000",1014,2606.0,6493.0
1846380,618,"1,000,000 .. 2,000,000",1716,4299.0,14053.0
1651560,598,"200,000 .. 500,000",569,590.0,4228.0
1102190,595,"500,000 .. 1,000,000",1871,1785.0,14037.0
1054490,569,"100,000 .. 200,000",1836,535.0,1452.0
1213210,564,"1,000,000 .. 2,000,000",945,1708.0,29136.0
1072040,559,"100,000 .. 200,000",2735,1147.0,3459.0
1575940,544,"200,000 .. 500,000",1960,1664.0,13330.0
1030830,538,"2,000,000 .. 5,000,000",619,519.0,3818.0
1324130,538,"200,000 .. 500,000",2732,2716.0,8778.0
1601580,525,"500,000 .. 1,000,000",813,1105.0,14925.0
1562430,517,"1,000,000 .. 2,000,000",668,1077.0,12686.0
2108330,515,"1,000,000 .. 2,000,000",3162,4367.0,14432.0
2124490,514,"500,000 .. 1,000,000",1366,1690.0,21791.0
1244090,509,"500,000 .. 1,000,000",1234,519.0,8597.0
2440510,506,"1,000,000 .. 2,000,000",2367,979.0,4507.0
1451190,503,"500,000 .. 1,000,000",1410,1066.0,6858.0
1332010,498,"5,000,000 .. 10,000,000",399,1310.0,51455.0
850190,474,"200,000 .. 500,000",645,1201.0,3598.0
597180,474,"200,000 .. 500,000",1228,565.0,3565.0
1235140,470,"500,000 .. 1,000,000",2462,1876.0,9508.0
1659420,467,"500,000 .. 1,000,000",1185,1552.0,10733.0
668580,466,"1,000,000 .. 2,000,000",1008,1607.0,37222.0
1272320,464,"200,000 .. 500,000",882,904.0,5939.0
1222690,454,"1,000,000 .. 2,000,000",1711,2731.0,4937.0
1267540,448,"200,000 .. 500,000",197,44.0,2686.0
368260,436,"2,000,000 .. 5,000,000",1779,2568.0,15405.0
694280,431,"500,000 .. 1,000,000",896,1003.0,3279.0
1588010,430,"200,000 .. 500,000",3058,1991.0,3773.0
780290,430,"500,000 .. 1,000,000",2645,2265.0,6900.0
756800,429,"500,000 .. 1,000,000",747,2178.0,8104.0
1265820,426,"100,000 .. 200,000",1123,115.0,1449.0
1105670,424,"500,000 .. 1,000,000",2156,1231.0,6723.0
1629520,422,"200,000 .. 500,000",457,1167.0,3128.0
1124300,411,"1,000,000 .. 2,000,000",1943,2810.0,55232.0
1875830,410,"200,000 .. 500,000",2228,1599.0,21749.0
1488200,409,"500,000 .. 1,000,000",1190,1088.0,4368.0
1458140,406,"500,000 .. 1,000,000",846,1998.0,18428.0
1637320,402,"2,000,000 .. 5,000,000",633,2368.0,6487.0
1971650,398,"200,000 .. 500,000",2400,1332.0,16994.0
1096530,396,"1,000,000 .. 2,000,000",2167,3215.0,8291.0
2138710,394,"500,000 .. 1,000,000",572,1164.0,3136.0
1295500,378,"100,000 .. 200,000",999,272.0,2589.0
1817190,377,"1,000,000 .. 2,000,000",950,3324.0,12641.0
1676840,374,"500,000 .. 1,000,000",1532,2027.0,28528.0
1611910,373,"2,000,000 .. 5,000,000",1509,1419.0,12395.0
2933130,370,"200,000 .. 500,000",1310,1835.0,8735.0
2291060,369,"200,000 .. 500,000",3521,1687.0,18497.0
2231450,367,"1,000,000 .. 2,000,000",812,3667.0,8744.0
1455840,365,"1,000,000 .. 2,000,000",629,1294.0,7063.0
1084160,363,"200,000 .. 500,000",1497,1665.0,25332.0
760160,362,"2,000,000 .. 5,000,000",451,1746.0,29008.0
952060,362,"2,000,000 .. 5,000,000",693,1263.0,32635.0
2218750,361,"500,000 .. 1,000,000",1244,1442.0,26005.0
1372110,357,"200,000 .. 500,000",691,261.0,5023.0
2064650,354,"1,000,000 .. 2,000,000",1972,2513.0,7164.0
1282730,348,"1,000,000 .. 2,000,000",1175,2392.0,51078.0
1433140,336,"200,000 .. 500,000",2900,1322.0,17141.0
1245560,334,"200,000 .. 500,000",1246,352.0,6062.0
1128920,331,"1,000,000 .. 2,000,000",1331,1244.0,9735.0
1357210,330,"200,000 .. 500,000",4772,582.0,1422.0
1180660,328,"500,000 .. 1,000,000",526,227.0,2768.0
1127500,328,"500,000 .. 1,000,000",1027,730.0,9914.0
418530,313,"1,000,000 .. 2,000,000",1446,918.0,6937.0
1693980,313,"500,000 .. 1,000,000",870,1788.0,28842.0
493520,307,"2,000,000 .. 5,000,000",921,2102.0,18813.0
1785650,302,"200,000 .. 500,000",1624,560.0,3693.0
1071870,300,"500,000 .. 1,000,000",319,400.0,4915.0
1583230,299,"500,000 .. 1,000,000",530,928.0,11583.0
