app_id,metascore,user_score
2085370,75.0,78
1330470,80.0,76
2272400,80.0,78
2494780,63.0,0
919360,79.0,78
1928870,71.0,56
1743850,88.0,74
754890,68.0,74
1676130,81.0,75
1380420,78.0,82
1045720,74.0,73
1436590,72.0,86
983970,73.0,76
1371720,80.0,74
1206060,81.0,76
1062140,73.0,70
1552810,65.0,59
1967260,67.0,70
1949030,75.0,71
1196090,64.0,66
2009100,69.0,61
1485590,75.0,76
1225560,78.0,80
2213300,77.0,70
981890,69.0,52
1299510,66.0,38
1766100,75.0,65
1497950,75.0,55
1920780,76.0,78
1996010,84.0,80
1492680,77.0,81
1975440,70.0,71
1889740,75.0,88
1038370,81.0,65
1123450,90.0,77
1429850,81.0,82
1282690,76.0,68
795420,84.0,78
945770,68.0,75
1110910,76.0,62
2653940,71.0,69
1413660,70.0,70
729000,78.0,74
1591530,75.0,72
982290,76.0,74
674930,72.0,63
1242980,73.0,68
1000410,72.0,66
1799930,78.0,68
1311510,81.0,66
1158890,74.0,67
2123640,74.0,64
1190170,84.0,71
1432100,80.0,73
1108590,76.0,66
1314000,67.0,71
1553000,67.0,47
1658290,71.0,66
2059660,77.0,80
2398170,77.0,78
2006140,76.0,77
1924360,82.0,68
1937620,71.0,0
2060590,77.0,0
1157220,73.0,72
2304640,82.0,70
1608230,80.0,78
824550,74.0,73
1390410,76.0,74
1783360,79.0,70
720560,75.0,75
1194810,73.0,56
2001340,84.0,79
1285670,76.0,77
1160220,81.0,73
2014380,81.0,75
826940,64.0,57
1638230,54.0,0
1135910,54.0,12
1182310,80.0,79
1283230,63.0,50
1373960,80.0,70
1108000,74.0,72
1235100,74.0,72
1231990,74.0,69
1244950,72.0,65
1046790,73.0,62
1227780,70.0,79
1137350,82.0,61
1913210,64.0,52
1309950,81.0,67
1279630,64.0,61
1759380,76.0,65
1046300,79.0,77
1037130,80.0,71
1889930,78.0,80
1867510,69.0,58
1776380,69.0,73
2378620,84.0,87
1574310,73.0,72
1607240,74.0,67
269190,60.0,60
1454970,69.0,39
2095340,70.0,65
1660840,76.0,68
1386900,79.0,75
1747760,84.0,74
1298140,73.0,79
962580,59.0,73
593150,74.0,71
1069530,74.0,68
1710540,72.0,71
1866180,72.0,63
1839940,69.0,56
1003090,71.0,56
1221250,89.0,74
1334730,72.0,69
1491670,79.0,64
1186640,71.0,69
1257360,82.0,82
1823930,76.0,61
2366970,86.0,82
1546310,78.0,53
1634150,73.0,73
1446350,61.0,43
1299690,78.0,78
2544110,84.0,88
1233260,71.0,73
1477940,59.0,19
824000,62.0,45
2097230,82.0,78
1373430,73.0,68
1122120,74.0,0
865680,79.0,76
1457080,78.0,67
2737300,77.0,82
598550,82.0,79
2313020,68.0,68
1140290,79.0,63
1296360,82.0,74
1955230,74.0,73
1577250,68.0,71
1421490,74.0,73
910830,77.0,54
2633500,60.0,0
1472930,75.0,44
1229580,83.0,70
1921480,73.0,56
1538970,66.0,53
1173220,63.0,63
1265780,33.0,15
1843310,54.0,60
866140,80.0,77
1232460,69.0,70
1057750,63.0,66
2362090,76.0,80
1658920,59.0,50
2153350,79.0,74
1186040,70.0,61
1659600,79.0,76
1361400,63.0,50
2238040,82.0,79
914750,58.0,56
906100,75.0,67
1331210,76.0,63
1370140,65.0,67
2851150,74.0,65
1324530,77.0,67
1981610,58.0,62
1872680,79.0,66
1426010,85.0,81
2305500,79.0,61
994140,73.0,76
1233590,64.0,41
2235020,70.0,66
1919470,89.0,81
1561340,83.0,67
1036890,76.0,69
363860,68.0,71
1543710,78.0,71
1085220,76.0,65
1962430,66.0,73
1438480,75.0,78
1259380,69.0,72
720350,72.0,74
1101360,72.0,61
1214650,59.0,45
1121420,81.0,80
1296450,69.0,0
1521970,72.0,68
1229460,70.0,72
2076580,78.0,63
541310,76.0,73
854940,73.0,77
1726120,80.0,63
878670,67.0,77
1370050,71.0,63
1730680,78.0,80
1273560,74.0,65
1333200,75.0,67
1095120,79.0,0
829280,79.0,80
1484900,68.0,78
2304440,72.0,66
1167140,69.0,65
2596420,81.0,76
1755100,83.0,75
762840,70.0,62
730430,68.0,69
1269640,84.0,76
1266030,77.0,70
2206210,72.0,70
1430220,73.0,72
1409830,73.0,63
1252830,69.0,76
1921980,83.0,59
924750,69.0,67
609920,74.0,68
1736290,69.0,70
1336180,73.0,71
2652000,65.0,50
1042380,74.0,68
1375400,74.0,69
2139300,61.0,73
1319460,80.0,67
1119700,70.0,74
762940,66.0,51
938560,78.0,78
1144770,73.0,72
721180,68.0,12
1661630,77.0,68
1135260,65.0,50
1519710,67.0,60
890720,78.0,65
1982340,64.0,68
2275150,71.0,63
2138090,76.0,76
898890,75.0,77
1403440,61.0,54
1351210,59.0,61
1393370,74.0,77
1084640,82.0,77
1205900,80.0,71
944920,68.0,0
1580180,81.0,77
1107790,60.0,59
1061880,72.0,34
1191900,67.0,61
1946700,75.0,69
1140890,71.0,62
1011190,69.0,79
861250,82.0,71
1998330,72.0,70
2231190,82.0,55
1225580,70.0,62
612570,74.0,78
1062110,84.0,77
1708010,75.0,62
1164050,79.0,63
2229940,77.0,81
1097110,71.0,63
889910,78.0,72
1523650,72.0,38
1335230,86.0,74
1771360,84.0,74
948640,57.0,59
1608700,67.0,0
1574270,77.0,83
2535440,70.0,78
1333470,65.0,62
1582680,76.0,63
1530470,65.0,66
1610460,74.0,56
2316580,76.0,48
581660,66.0,53
1911360,75.0,65
1959390,83.0,79
2060790,69.0,74
1385100,74.0,56
1782330,83.0,65
1099640,75.0,74
1049710,73.0,67
1345820,79.0,56
773370,81.0,70
